time,latitude,longitude,co,no,so2,tp,ssr,u10,v10,skt
2018-01-02 03:00:00,28.2,76.85,2.120079e-06,2.4251707e-09,2.6222537e-08,0.0,284828.38,1.8186569,-0.12730622,284.1848
2018-01-02 03:00:00,28.2,77.6,2.7181468e-06,3.384709e-09,3.511567e-08,0.0,307570.38,1.5069809,-0.76251435,284.1095
2018-01-02 03:00:00,28.95,76.85,2.531829e-06,2.7711855e-09,2.7300441e-08,0.0,254560.38,1.2643051,-0.37686372,283.60004
2018-01-02 03:00:00,28.95,77.6,3.7033255e-06,2.9029396e-08,3.9420986e-08,0.0,278472.38,1.4850693,-0.4631064,283.3091
2018-01-02 06:00:00,28.2,76.85,1.8407356e-06,3.3712346e-09,2.2065487e-08,0.0,1710430.0,0.87420833,-1.2371511,297.1985
2018-01-02 06:00:00,28.2,77.6,2.4624355e-06,4.249367e-09,2.8498782e-08,0.0,1751727.0,1.1088885,-1.2123404,296.0334
2018-01-02 06:00:00,28.95,76.85,2.4054002e-06,4.608159e-09,2.6513169e-08,0.0,1698855.0,1.0103472,-0.41224575,295.8338
2018-01-02 06:00:00,28.95,77.6,2.6739203e-06,6.8058963e-09,2.9580464e-08,0.0,1740063.0,1.233446,-0.52540493,294.20667
2018-01-02 09:00:00,28.2,76.85,1.3459813e-06,1.1715844e-09,1.6410302e-08,0.0,1669583.0,0.12333584,-2.095644,297.68353
2018-01-02 09:00:00,28.2,77.6,1.9246982e-06,1.4576249e-09,2.1821778e-08,0.0,1685338.0,0.7072897,-1.9283466,296.3943
2018-01-02 09:00:00,28.95,76.85,1.9143226e-06,1.5600611e-09,2.013383e-08,0.0,1660855.0,0.6876364,-1.8350086,296.6452
2018-01-02 09:00:00,28.95,77.6,2.0581485e-06,1.7178938e-09,2.231014e-08,0.0,1672439.0,1.7169027,-1.7033939,295.77435
2018-01-02 12:00:00,28.2,76.85,1.9594133e-06,2.1281275e-09,4.1828986e-08,0.0,229324.38,0.2730494,-1.7942715,285.00876
2018-01-02 12:00:00,28.2,77.6,2.6166163e-06,2.3582165e-09,5.0326324e-08,0.0,209730.38,0.40882212,-1.4961452,284.15305
